SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,PaperlessBilling,MonthlyCharges,Contract_Risk,PaymentMethod_Electronic check,PaymentMethod_Mailed check,PaymentMethod_Automatic,Churn
0,1,0,7,2,0,0,1,75.15,2,0,0,1,1
0,0,0,42,2,0,1,1,103.8,2,0,0,1,0
0,1,0,49,0,0,0,1,20.15,0,0,0,1,0
0,0,0,9,2,0,0,1,99.3,2,0,0,1,0
0,1,0,35,1,1,0,1,62.15,1,0,0,1,0
0,1,1,48,0,0,0,0,20.65,0,0,0,1,0
0,1,1,46,0,0,0,1,19.95,0,0,1,0,0
0,1,0,29,1,0,0,0,33.75,2,0,1,0,0
0,1,1,30,2,0,0,0,82.05,2,0,0,1,0
1,0,0,1,2,0,1,0,74.7,2,1,0,0,0
0,1,1,66,1,1,1,1,84.0,0,0,1,0,0
0,0,0,65,2,1,0,1,111.05,2,0,0,1,0
0,0,0,72,2,0,0,1,100.9,0,0,0,1,0
0,0,0,12,2,1,0,1,78.95,2,1,0,0,1
0,1,1,71,1,1,1,1,66.85,1,0,0,1,0
0,0,0,5,0,0,0,0,21.05,2,0,1,0,1
0,0,0,52,0,0,0,0,21.0,0,0,0,1,0
1,1,0,25,2,0,0,1,98.5,2,1,0,0,1
0,0,0,1,0,0,0,0,20.2,2,0,1,0,0
0,1,1,1,0,0,0,0,19.45,2,1,0,0,0
0,0,0,38,2,0,1,0,95.0,1,0,0,1,0
1,1,0,66,1,0,0,0,45.55,1,0,0,1,0
0,1,0,68,2,0,1,1,110.0,0,0,0,1,1
0,0,0,5,1,0,0,0,24.3,2,0,1,0,0
0,1,1,72,2,1,0,1,104.15,1,1,0,0,0
0,0,0,32,1,1,0,0,30.15,1,0,1,0,0
0,0,0,43,2,0,0,0,94.35,1,0,1,0,0
0,1,1,72,0,0,0,0,19.4,0,0,0,1,0
0,1,0,55,2,1,0,1,96.75,2,1,0,0,1
0,0,0,52,1,1,1,0,57.95,1,0,0,1,0
0,0,0,43,2,0,0,1,91.65,2,1,0,0,0
1,1,0,37,2,0,0,1,76.5,2,1,0,0,1
0,1,1,64,1,0,1,1,54.6,0,1,0,0,0
0,1,1,3,2,1,0,0,89.85,2,1,0,0,0
0,0,0,36,1,1,0,0,31.05,0,0,0,1,0
0,1,1,10,2,1,0,1,100.25,2,1,0,0,1
0,0,0,41,0,0,0,0,20.65,0,0,1,0,0
0,1,1,27,2,0,1,1,85.2,2,0,0,1,0
0,1,1,56,2,0,0,1,99.8,1,0,0,1,0
0,0,0,6,0,0,0,0,20.7,2,0,1,0,0
0,0,0,3,2,0,0,1,74.4,2,1,0,0,1
0,1,1,7,1,1,0,0,50.7,2,0,1,0,0
0,1,1,4,0,0,0,0,20.85,2,0,1,0,0
0,0,0,33,2,1,1,1,88.95,0,1,0,0,0
1,0,0,27,2,0,0,1,78.05,2,1,0,0,1
0,1,0,72,0,0,0,1,23.55,0,0,0,1,0
0,0,0,1,0,0,0,0,19.75,2,0,1,0,0
1,0,0,71,1,1,0,1,56.45,1,1,0,0,0
0,0,0,13,2,0,0,1,85.95,2,1,0,0,0
0,1,1,25,1,1,0,1,58.6,2,0,0,1,1
0,0,0,67,1,0,1,0,50.55,0,0,0,1,0
0,0,0,1,1,0,0,1,35.45,2,1,0,0,1
0,0,0,2,1,0,0,0,44.35,2,1,0,0,1
0,0,0,43,0,0,0,1,25.7,0,0,0,1,0
0,0,0,23,2,1,0,1,75.0,2,0,0,1,0
0,1,1,64,0,0,0,0,20.2,0,0,1,0,0
0,0,1,57,0,0,0,1,19.6,0,0,1,0,0
1,1,0,1,2,0,0,1,70.45,2,0,1,0,1
1,1,1,72,1,1,1,1,88.05,0,0,0,1,0
0,0,0,8,1,1,1,0,71.15,2,1,0,0,1
0,1,0,61,2,0,0,1,101.05,0,0,0,1,0
0,0,0,64,2,1,0,1,84.3,1,0,0,1,0
1,1,0,71,0,0,0,0,23.95,0,0,0,1,0
0,1,1,65,2,1,1,1,99.05,0,0,0,1,0
0,0,0,3,0,0,0,0,19.6,1,0,1,0,0
0,0,0,1,1,0,0,1,45.65,2,1,0,0,1
0,0,1,30,1,0,0,0,64.5,1,0,0,1,0
0,1,1,15,1,0,1,1,69.5,2,0,1,0,0
0,1,1,8,1,0,1,1,68.55,2,1,0,0,0
0,0,0,7,2,0,0,0,95.0,2,0,1,0,1
0,1,1,70,2,1,0,1,108.15,1,0,0,1,0
0,1,1,62,1,1,1,0,86.1,0,1,0,0,0
0,1,1,6,0,0,0,0,19.7,2,0,1,0,0
0,1,1,14,2,0,0,1,80.9,2,0,0,1,0
0,0,0,22,2,0,0,1,84.15,2,0,0,1,0
0,1,1,22,0,0,0,0,20.15,1,0,1,0,0
0,1,1,16,1,1,0,0,64.25,0,0,1,0,0
0,0,0,10,0,0,0,0,25.7,0,0,0,1,0
0,0,1,13,1,1,0,1,56.0,2,1,0,0,0
0,1,0,20,2,1,0,0,82.4,2,1,0,0,1
0,0,0,2,2,0,0,1,69.7,2,1,0,0,0
0,0,0,53,1,0,1,1,73.9,0,0,0,1,0
0,1,1,11,0,0,0,0,20.6,1,0,1,0,0
0,1,0,69,0,0,0,0,19.9,0,0,1,0,0
0,0,0,4,2,0,0,1,70.9,2,0,0,1,1
0,1,0,72,1,1,1,1,89.05,0,0,0,1,0
1,1,0,58,1,0,0,1,45.3,2,1,0,0,1
0,1,1,16,0,0,0,0,20.4,2,1,0,0,0
0,1,0,43,2,1,1,1,84.25,1,0,0,1,0
0,1,0,2,2,0,1,1,104.4,2,1,0,0,1
0,1,0,14,1,0,1,0,81.95,0,0,1,0,0
0,1,0,53,2,0,0,1,94.85,1,0,0,1,1
0,0,0,32,0,0,0,0,20.55,1,0,0,1,0
0,1,0,34,0,0,0,0,24.7,2,1,0,0,0
1,0,0,15,2,0,0,1,74.45,2,0,1,0,1
1,0,0,7,2,1,0,0,76.45,2,0,0,1,1
0,1,1,15,2,0,0,1,105.35,2,0,0,1,0
0,1,0,61,0,0,0,1,20.55,1,0,0,1,0
0,0,0,1,1,0,0,0,29.95,2,0,0,1,1
0,0,0,1,1,0,0,0,45.3,2,0,1,0,0
0,0,0,8,2,0,0,0,84.5,2,0,0,1,1
0,1,1,33,1,1,0,0,74.75,1,0,0,1,0
0,0,0,13,2,0,0,1,79.25,2,1,0,0,1
0,1,0,1,1,0,0,1,24.8,2,1,0,0,1
0,0,0,20,1,0,0,1,51.8,2,0,1,0,0
0,0,0,3,1,0,1,0,30.4,2,1,0,0,0
0,0,0,13,0,0,0,0,19.65,1,1,0,0,0
0,1,0,40,1,0,0,0,56.6,2,0,0,1,0
0,1,1,43,1,1,1,1,71.9,1,0,0,1,0
0,1,0,6,2,0,0,1,91.0,2,1,0,0,1
0,1,1,69,0,0,0,0,19.75,0,0,0,1,0
0,1,1,72,2,1,0,0,109.7,0,0,0,1,0
0,1,1,59,0,0,0,0,19.3,0,0,0,1,0
0,1,0,20,2,1,1,1,96.55,2,1,0,0,0
0,1,1,24,0,0,0,1,24.1,0,0,0,1,0
0,0,0,59,2,0,1,1,111.35,2,1,0,0,0
0,1,1,72,2,0,1,1,112.25,0,0,0,1,0
0,0,1,1,0,0,0,0,20.75,2,0,1,0,0
0,1,0,27,2,1,1,1,101.9,1,0,0,1,0
0,0,0,14,2,0,1,1,80.05,2,0,0,1,0
0,1,1,71,2,1,0,0,105.55,0,1,0,0,0
0,0,1,13,2,0,0,1,78.3,2,0,0,1,0
0,0,0,44,2,0,0,0,68.85,2,0,0,1,0
0,0,0,33,2,0,1,1,79.95,1,0,0,1,0
0,1,1,72,1,1,1,1,55.45,0,0,0,1,0
0,0,0,1,2,0,0,0,79.9,2,1,0,0,1
0,0,0,19,2,1,1,1,106.6,2,1,0,0,1
0,1,0,64,2,0,1,1,102.45,1,0,0,1,0
0,0,0,2,1,0,0,1,46.0,2,0,0,1,1
0,0,0,1,1,0,0,0,25.25,2,1,0,0,0
0,0,1,61,0,0,0,0,19.75,0,0,1,0,0
0,1,1,29,0,0,0,0,20.0,1,1,0,0,0
1,1,0,23,2,0,0,0,86.8,2,1,0,0,0
0,1,0,57,1,1,0,1,58.75,2,0,0,1,0
0,1,1,72,1,1,1,0,45.25,0,0,0,1,0
0,1,0,66,1,1,1,1,56.6,0,0,0,1,0
0,1,1,65,1,0,1,1,84.2,0,0,0,1,0
0,0,0,8,2,0,0,1,80.0,2,0,0,1,0
0,0,0,4,2,0,0,1,70.15,2,1,0,0,1
0,1,0,71,0,0,0,0,24.75,0,0,0,1,0
0,1,1,1,0,0,0,1,20.2,1,1,0,0,0
0,1,0,4,1,0,1,0,50.05,2,0,1,0,1
0,0,0,12,0,0,0,1,19.35,1,0,0,1,0
0,0,0,24,1,1,0,1,50.6,1,0,1,0,0
0,1,1,31,1,1,1,1,81.15,1,0,1,0,0
0,1,0,1,1,0,0,0,55.2,2,0,1,0,1
0,0,0,30,2,0,1,1,89.9,2,0,0,1,0
0,1,1,47,1,1,1,1,85.3,0,0,0,1,0
0,0,0,54,2,1,1,1,108.0,0,0,0,1,0
0,0,0,50,2,1,1,1,93.5,2,0,0,1,0
0,0,0,1,2,1,0,1,84.6,2,0,1,0,1
0,0,0,72,0,0,0,0,20.25,0,0,0,1,0
0,0,0,29,0,0,0,0,25.15,2,1,0,0,0
0,0,0,2,1,0,0,1,54.4,2,0,1,0,1
0,0,0,10,1,0,1,1,29.6,0,0,1,0,0
0,1,0,18,2,0,0,1,73.15,2,1,0,0,0
1,0,0,11,2,0,0,1,95.0,2,1,0,0,1
0,0,0,16,0,0,0,0,19.75,0,0,1,0,0
0,0,0,72,1,0,1,0,86.6,0,0,0,1,0
0,0,0,72,2,0,1,0,109.2,0,0,0,1,0
0,1,1,41,1,1,1,1,74.7,1,0,0,1,0
1,1,0,65,2,1,0,0,94.4,2,1,0,0,0
1,0,0,13,1,0,0,1,54.8,2,1,0,0,0
1,0,0,4,2,1,0,0,75.35,2,1,0,0,0
0,0,0,41,1,0,0,0,65.0,1,0,1,0,0
1,0,0,15,2,0,0,1,74.4,2,1,0,0,1
0,0,0,1,1,1,0,1,48.55,2,0,1,0,1
0,0,0,42,2,1,0,1,99.0,1,1,0,0,0
0,1,0,51,2,1,0,1,93.5,1,1,0,0,0
0,1,1,2,2,0,0,0,70.4,2,1,0,0,1
1,1,0,1,1,0,0,0,40.2,2,1,0,0,1
0,0,1,32,1,0,1,0,83.7,1,0,0,1,0
0,0,0,10,0,0,0,1,19.85,2,0,1,0,0
0,1,1,67,1,0,1,1,59.55,0,1,0,0,0
0,1,1,61,2,1,1,0,115.1,0,0,0,1,0
0,0,0,50,2,1,1,0,114.35,1,0,0,1,0
0,1,0,2,1,0,0,1,44.6,2,0,0,1,1
1,1,0,29,1,1,0,1,45.0,2,1,0,0,0
1,0,0,3,1,0,0,1,41.15,2,1,0,0,1
1,0,0,13,2,0,0,1,106.9,2,1,0,0,1
1,1,0,57,2,0,0,1,89.85,2,1,0,0,0
0,0,0,31,1,1,1,1,49.85,0,0,0,1,0
0,1,0,45,2,1,1,0,113.3,1,0,1,0,0
0,1,1,61,1,1,1,0,88.1,0,0,1,0,0
0,0,0,50,0,0,0,0,24.9,0,0,0,1,0
1,0,0,19,2,1,1,1,105.0,2,0,1,0,0
0,0,0,59,0,0,0,0,19.35,0,0,1,0,1
0,1,0,71,0,0,0,1,24.25,0,0,0,1,0
1,0,0,16,2,0,1,1,94.45,2,1,0,0,1
0,1,0,57,1,1,1,1,59.75,0,1,0,0,0
0,0,0,1,1,0,0,0,24.8,2,0,0,1,1
1,1,0,20,2,0,1,0,107.05,2,1,0,0,0
0,0,0,1,2,0,0,0,70.6,2,0,1,0,1
0,1,0,5,2,0,1,1,85.4,2,1,0,0,1
0,1,0,52,2,0,0,1,105.05,2,1,0,0,1
1,1,0,21,1,1,0,1,64.95,2,0,0,1,0
0,0,0,14,1,0,1,1,55.0,2,1,0,0,0
0,0,0,5,1,0,0,0,50.55,2,0,0,1,0
0,0,0,6,1,1,0,0,55.15,2,0,1,0,0
0,0,0,10,1,0,0,0,51.2,2,1,0,0,0
0,0,1,1,0,0,0,0,25.4,2,0,1,0,0
0,0,0,68,1,1,0,0,54.45,2,0,1,0,0
0,1,1,18,2,0,0,0,95.15,2,0,1,0,1
0,0,0,22,2,0,0,1,76.0,1,0,0,1,0
0,0,0,20,1,0,0,1,44.35,2,1,0,0,0
0,1,0,1,2,0,0,0,70.0,2,1,0,0,1
1,0,0,8,2,0,0,1,74.5,2,1,0,0,1
0,0,0,10,1,0,0,1,44.85,2,0,0,1,1
1,0,0,24,2,0,0,1,76.1,2,1,0,0,1
0,0,0,35,1,1,0,0,61.2,1,0,1,0,0
0,1,1,23,2,0,1,0,86.8,1,0,1,0,0
1,0,0,6,2,0,0,1,89.35,2,1,0,0,0
0,0,0,12,0,0,0,0,19.7,2,0,1,0,0
0,0,0,1,0,0,0,0,20.25,2,0,1,0,0
0,1,1,71,2,0,0,0,76.05,0,1,0,0,0
1,1,0,35,2,0,0,1,100.8,2,1,0,0,0
0,1,1,40,1,0,0,1,74.55,2,1,0,0,0
0,0,1,1,2,1,0,1,73.6,2,0,1,0,1
0,0,0,23,1,0,0,1,64.9,1,0,0,1,0
1,0,0,4,2,0,0,1,95.45,2,1,0,0,1
0,0,0,4,2,0,1,1,90.4,2,1,0,0,0
0,1,1,68,1,0,1,0,60.3,0,0,0,1,0
0,0,1,38,2,0,0,1,81.85,2,0,1,0,0
0,1,1,52,0,0,0,0,24.8,0,0,1,0,0
1,1,0,32,2,0,0,1,74.9,2,1,0,0,1
0,1,1,29,1,0,1,0,75.55,0,0,1,0,0
1,1,1,38,2,0,0,0,101.15,2,1,0,0,0
0,0,1,48,1,1,0,1,78.75,1,0,0,1,0
0,0,0,1,0,0,0,1,19.25,2,0,0,1,0
0,0,0,22,2,1,1,1,89.05,2,1,0,0,0
0,0,0,43,2,1,1,0,115.05,0,0,0,1,0
1,1,0,5,2,0,0,1,69.35,2,1,0,0,0
0,0,0,5,2,0,0,1,80.6,2,1,0,0,1
0,1,1,51,2,1,1,0,110.05,1,0,0,1,0
0,0,0,71,0,0,0,1,19.9,0,0,0,1,0
0,1,1,38,1,1,1,0,80.3,1,0,0,1,1
1,1,0,24,2,0,0,1,93.15,2,1,0,0,1
0,1,0,35,2,0,1,1,91.5,2,0,0,1,0
1,0,0,54,1,1,1,0,82.45,1,0,0,1,1
0,1,1,72,1,0,1,1,60.0,0,1,0,0,0
0,0,0,1,1,0,0,1,44.8,2,1,0,0,0
0,1,1,9,1,1,0,0,48.6,1,0,1,0,0
0,0,0,69,1,1,1,1,60.05,0,0,0,1,0
0,1,0,52,2,0,1,1,102.7,2,0,0,1,0
1,1,0,11,2,0,1,1,82.9,2,1,0,0,0
1,0,0,2,2,0,0,1,70.35,2,1,0,0,1
1,1,1,28,1,0,0,1,35.9,2,1,0,0,0
1,0,0,17,2,0,0,1,82.65,2,0,0,1,0
0,1,1,35,0,0,0,1,19.85,0,0,1,0,0
0,0,0,8,0,0,0,1,19.2,1,0,1,0,0
0,0,0,46,2,0,0,1,94.9,1,0,0,1,0
0,0,0,7,2,0,0,1,73.85,2,1,0,0,1
0,0,0,2,2,0,0,0,80.6,2,0,1,0,1
0,1,1,68,1,0,1,1,75.8,1,0,0,1,1
0,0,0,43,2,0,0,1,104.6,0,1,0,0,1
0,0,0,68,1,1,1,1,88.15,0,1,0,0,0
0,0,0,36,2,0,0,1,94.8,2,0,0,1,0
0,1,0,63,2,0,0,1,103.4,2,1,0,0,1
1,0,0,32,1,0,1,0,54.65,2,0,0,1,0
0,1,0,71,1,1,1,0,85.75,0,0,0,1,0
0,1,1,66,1,1,0,1,67.45,2,0,0,1,0
0,0,0,63,0,0,0,0,20.5,1,0,1,0,0
0,0,1,41,0,0,0,1,20.25,1,0,0,1,0
1,0,0,1,2,0,0,1,72.1,2,1,0,0,0
0,0,0,2,2,0,0,1,90.4,2,1,0,0,1
0,1,0,70,0,0,0,0,19.45,0,0,0,1,0
0,0,0,23,1,0,0,1,44.95,2,1,0,0,0
1,1,0,64,2,1,0,0,97.0,1,0,0,1,0
0,1,1,37,1,1,1,1,62.8,0,0,0,1,0
0,0,1,17,1,0,0,0,44.6,1,0,1,0,0
1,0,0,7,2,0,0,1,89.15,2,1,0,0,0
0,1,1,4,2,0,0,1,84.8,2,0,0,1,1
1,0,0,21,1,1,0,1,41.9,2,1,0,0,1
0,0,0,10,2,0,0,1,80.25,2,0,0,1,1
1,0,0,16,1,1,0,1,54.1,2,1,0,0,0
0,1,0,64,2,0,1,1,105.25,0,1,0,0,0
1,1,0,27,1,1,0,0,30.75,2,0,0,1,1
0,1,1,42,2,1,0,0,97.1,1,1,0,0,0
0,0,1,5,0,0,0,0,20.2,2,0,1,0,0
0,0,0,41,2,0,1,1,98.8,0,0,0,1,0
0,1,0,58,1,0,0,0,50.3,1,0,0,1,0
0,0,0,47,0,0,0,1,20.55,0,0,1,0,0
0,0,0,18,2,0,1,1,75.9,2,0,0,1,0
0,0,0,5,2,0,0,0,96.5,2,0,0,1,1
0,1,0,23,1,1,0,1,59.95,2,0,0,1,0
0,0,0,1,0,0,0,0,19.15,2,0,1,0,0
0,1,0,71,2,0,0,1,98.65,1,0,0,1,0
0,1,1,72,2,1,1,1,112.6,0,0,0,1,0
0,1,1,33,0,0,0,0,20.6,1,0,1,0,0
0,0,0,2,2,0,0,1,85.65,2,1,0,0,1
0,0,1,24,1,1,1,0,35.75,0,0,1,0,0
0,1,1,56,2,0,1,1,99.75,1,0,0,1,0
0,0,0,37,2,0,0,1,96.1,2,0,0,1,0
0,0,0,43,1,0,1,0,85.1,1,0,0,1,0
0,0,0,1,1,0,0,0,25.35,2,0,1,0,0
0,1,0,25,2,0,1,1,104.95,2,0,0,1,1
0,0,0,61,1,1,1,0,89.65,0,1,0,0,0
0,0,0,17,2,0,1,0,86.75,1,1,0,0,0
0,1,0,41,2,0,1,1,86.2,1,0,0,1,0
0,0,0,1,1,0,0,0,50.65,2,0,1,0,1
1,1,1,72,1,1,1,1,64.8,0,0,0,1,0
0,0,0,1,2,0,0,1,90.85,2,0,0,1,1
0,0,0,48,2,0,0,1,108.1,0,0,0,1,0
1,1,0,11,0,0,0,0,19.95,2,0,1,0,1
1,1,0,55,2,0,0,1,85.45,2,1,0,0,1
0,0,0,42,1,1,1,1,54.75,1,1,0,0,0
0,0,0,44,2,0,0,1,90.4,2,0,1,0,0
0,0,1,1,1,0,0,0,44.0,2,1,0,0,0
0,0,0,27,2,0,0,1,95.6,2,0,0,1,0
1,1,0,27,1,0,1,1,84.8,2,0,0,1,0
1,0,0,2,1,0,0,1,44.3,2,1,0,0,0
0,0,0,19,0,0,0,0,19.9,2,0,1,0,0
1,1,0,42,2,0,0,1,95.05,2,1,0,0,0
0,0,0,66,1,1,1,1,90.05,0,0,0,1,0
1,1,0,33,2,1,1,1,109.9,2,0,0,1,0
0,0,0,34,2,0,0,1,73.95,2,0,0,1,1
1,0,0,33,1,0,1,1,54.6,2,1,0,0,0
0,1,1,23,0,0,0,0,20.05,1,0,1,0,0
0,0,0,32,0,0,0,0,19.75,1,0,0,1,0
0,0,0,11,0,0,0,0,20.05,1,0,0,1,0
0,1,1,69,2,0,0,1,99.45,2,0,0,1,1
0,1,0,68,1,1,1,0,55.9,1,0,0,1,0
0,0,0,20,0,0,0,1,19.7,0,0,1,0,0
0,0,0,72,0,0,0,1,19.8,0,0,0,1,0
0,1,1,60,2,1,0,1,95.4,1,0,0,1,0
1,1,1,32,2,0,0,1,93.95,2,0,1,0,0
0,0,0,1,0,0,0,1,19.9,2,0,1,0,1
0,0,0,1,0,0,0,1,19.6,2,0,1,0,1
1,0,0,3,2,0,0,1,81.35,2,1,0,0,1
0,1,0,46,0,0,0,1,24.45,1,0,0,1,0
0,1,0,29,2,0,0,1,74.95,2,1,0,0,0
0,0,0,51,2,0,1,1,87.35,2,1,0,0,0
1,1,0,48,2,0,0,1,70.65,2,0,0,1,0
0,1,1,16,2,0,0,0,73.25,2,0,0,1,0
0,1,0,70,2,0,1,1,98.7,0,0,0,1,0
0,1,1,40,0,0,0,1,24.8,0,0,1,0,0
0,1,1,22,2,0,0,0,83.3,2,1,0,0,1
1,0,0,1,2,0,0,1,75.3,2,0,0,1,1
0,1,1,5,0,0,0,1,24.3,2,0,1,0,0
0,0,0,7,2,0,0,1,69.85,2,0,0,1,0
0,0,1,29,2,0,1,0,100.55,1,0,0,1,0
0,1,1,44,0,0,0,0,25.7,1,0,1,0,0
0,0,0,10,1,1,0,0,40.7,2,0,0,1,0
1,1,0,55,1,0,0,0,51.65,2,0,0,1,0
1,1,0,52,2,0,0,1,105.1,1,0,0,1,0
0,1,1,10,2,0,0,0,85.95,2,1,0,0,0
0,0,0,18,2,0,0,1,75.6,2,0,0,1,0
0,1,0,68,1,1,1,0,58.25,1,0,0,1,0
0,1,1,61,0,0,0,1,19.4,2,0,1,0,1
0,1,1,72,1,1,1,1,65.2,0,0,0,1,0
0,0,0,2,1,1,0,0,53.45,2,1,0,0,0
0,0,0,12,1,0,0,1,45.4,2,0,0,1,1
0,1,0,41,0,0,0,1,19.75,0,1,0,0,0
0,0,0,26,1,0,1,1,44.45,2,0,0,1,0
0,1,0,36,0,0,0,0,20.85,1,0,0,1,0
0,1,1,72,2,1,1,1,114.05,0,0,0,1,0
0,1,0,35,2,0,1,1,89.85,2,0,0,1,0
0,0,0,1,1,0,1,0,55.05,2,0,1,0,0
0,1,1,16,2,1,1,1,112.95,2,1,0,0,0
1,0,0,49,2,1,0,0,101.55,2,0,0,1,0
0,1,0,54,2,1,1,1,114.65,1,0,1,0,0
0,0,1,18,1,1,0,0,64.8,2,1,0,0,0
0,1,0,36,2,0,0,0,80.4,2,1,0,0,0
0,0,0,60,2,0,0,1,105.9,2,1,0,0,1
0,0,0,1,2,0,0,0,69.55,2,0,1,0,1
0,1,1,52,0,0,0,1,25.05,0,0,0,1,0
0,1,1,8,2,0,0,1,94.75,2,1,0,0,0
0,1,1,72,2,1,1,0,105.5,0,0,0,1,0
0,0,0,64,0,0,0,0,24.7,1,0,1,0,0
1,0,0,22,1,1,1,1,69.75,2,0,1,0,0
0,1,0,60,1,0,1,1,60.2,2,0,0,1,0
0,1,1,28,2,0,0,1,81.05,2,1,0,0,1
0,1,0,61,0,0,0,0,24.4,0,0,1,0,0
0,0,0,24,2,0,0,1,104.15,2,1,0,0,0
0,1,1,28,2,0,1,0,92.9,1,0,0,1,0
0,1,1,30,1,0,1,0,80.8,0,0,0,1,0
0,1,0,2,0,0,0,0,20.0,2,0,1,0,0
